beer1,beer2,scaled_r2
 #9, Orval Trappist Ale,0.18259477207774272
 #9, Pabst Blue Ribbon (PBR),0.24074852157561652
 #9, Pale Ale,0.07840333323744869
 #9, Palo Santo Marron,0.11789206068474734
 #9, Pliny The Elder,-0.013332845342695595
 #9, Porter,0.11512015316931459
 #9, Prima Pils,0.1600705032112076
 #9, Punkin Ale,0.11927603709794674
 #9, Péché Mortel (Imperial Stout Au Cafe),-0.11101417303312287
 #9, Racer 5 India Pale Ale,0.012163424332224778
 #9, Raison D'etre,0.06850494374287491
 #9, Samuel Adams Black Lager,0.20219925021254492
 #9, Samuel Adams Boston Lager,0.1613237782436089
 #9, Samuel Adams Octoberfest,0.05870074083381984
 #9, Samuel Adams Summer Ale,0.2678941156925094
 #9, Samuel Adams Winter Lager,0.1637217783811727
 #9, Samuel Smith's Imperial Stout,0.04365290760220659
 #9, Samuel Smith's Oatmeal Stout,0.21217666064185378
 #9, Schneider Aventinus,0.1543404674856625
 #9, Shakespeare Oatmeal Stout,0.05078105160679106
 #9, Sierra Nevada Bigfoot Barleywine Style Ale,0.10726201066704867
 #9, Sierra Nevada Celebration Ale,0.049580410999979334
 #9, Sierra Nevada Pale Ale,0.09817164565488316
 #9, Sierra Nevada Torpedo Extra IPA,0.15876559430926585
 #9," Smuttynose IPA ""Finest Kind""",0.0633850561924069
 #9, St. Bernardus Abt 12,0.013082875585153484
 #9, Stone IPA (India Pale Ale),0.02831735337440169
 #9, Stone Imperial Russian Stout,0.045280183615981316
 #9, Stone Ruination IPA,0.05384233007730812
 #9, Stone Smoked Porter,-0.031603703920133674
 #9, Stone Sublimely Self-Righteous Ale,0.06219768728348615
 #9, Storm King Stout,-0.003961659812906226
 #9, Ten FIDY,-0.09785487371186823
 #9, Three Philosophers Belgian Style Blend (Quadrupel),-0.05261421843627339
 #9, Trappistes Rochefort 10,0.00773640377397059
 #9, Trappistes Rochefort 8,0.026230004508446505
 #9, Trois Pistoles,0.09097029683653157
 #9, Tröegs Nugget Nectar,0.10008141701578212
 #9, Two Hearted Ale,0.016747801266104378
 #9, Weihenstephaner Hefeweissbier,0.06299617551666949
 #9, Westmalle Trappist Tripel,0.11362753963841633
 #9, World Wide Stout,0.2763057747232283
 #9, Yeti Imperial Stout,0.18428661978461633
 #9, Young's Double Chocolate Stout,0.14194438563437778
 #9, Yuengling Traditional Lager,0.24335133677807425
 120 Minute IPA, #9,0.003980117871906602
 120 Minute IPA, 60 Minute IPA,0.09610369411660129
 120 Minute IPA, 90 Minute IPA,0.1080679178512129
 120 Minute IPA, Alpha King Pale Ale,0.1046119629433999
 120 Minute IPA, Anchor Steam Beer,-0.004969593025185591
 120 Minute IPA, ApriHop,0.1595894356588841
 120 Minute IPA, Arrogant Bastard Ale,0.07186852209003854
 120 Minute IPA, Ayinger Celebrator Doppelbock,-0.023677378236399628
 120 Minute IPA, Bell's Expedition Stout,0.24774260816813284
 120 Minute IPA, Bell's Hopslam Ale,0.1891349563343693
 120 Minute IPA, Bell's Oberon Ale,-0.041409644807727804
 120 Minute IPA, Blue Moon Belgian White,0.15684762215645642
 120 Minute IPA, Bourbon County Brand Stout,0.2349139861370156
 120 Minute IPA, Brooklyn Black Chocolate Stout,0.04099991128238667
 120 Minute IPA, Budweiser,-0.08048195372049732
 120 Minute IPA, Burton Baton,0.22642101623048475
 120 Minute IPA, Chimay Grande Réserve (Blue),0.07067697464850012
 120 Minute IPA, Chimay Première (Red),0.09097532369289241
 120 Minute IPA, Chimay Tripel (White),-0.023271391001960243
 120 Minute IPA, Chocolate Stout,0.14140018247351036
 120 Minute IPA, Dale's Pale Ale,-0.03798017059322643
 120 Minute IPA, Dead Guy Ale,0.02429441222504232
 120 Minute IPA, Delirium Tremens,0.07335929539126101
 120 Minute IPA, Double Bastard Ale,0.1478568401038224
 120 Minute IPA, Dreadnaught IPA,0.22856746239259262
 120 Minute IPA, Duvel,0.11412356443557374
 120 Minute IPA, Fat Tire Amber Ale,0.008166859871818253
 120 Minute IPA, Founders Breakfast Stout,0.07598442914085235
 120 Minute IPA, Founders KBS (Kentucky Breakfast Stout),0.016221751719950245
 120 Minute IPA, Franziskaner Hefe-Weisse,-0.06058949484670891
 120 Minute IPA, Golden Monkey,0.06217447539688323
 120 Minute IPA, Great Lakes Edmund Fitzgerald Porter,0.18702257280399573
 120 Minute IPA, Guinness Draught,0.10121457915598576
 120 Minute IPA, Hennepin (Farmhouse Saison),0.05550057145201229
 120 Minute IPA, Hoegaarden Original White Ale,-0.1062777634793053
 120 Minute IPA, Hop Rod Rye,0.07240181813256978
 120 Minute IPA, Hop Stoopid,0.14126720862170453
 120 Minute IPA, Hop Wallop,0.1780109501932859
 120 Minute IPA, HopDevil Ale,0.04823373857146373
 120 Minute IPA, IPA,-0.09455881182377836
 120 Minute IPA, Imperial Stout,0.18355077068167494
 120 Minute IPA, India Pale Ale,0.0569296018838692
 120 Minute IPA, Indian Brown Ale,0.07915207143631758
 120 Minute IPA, La Fin Du Monde,0.1588570207106878
 120 Minute IPA, Maharaja,0.2513431466654825
 120 Minute IPA, Maudite,0.03444037736690978
 120 Minute IPA, Midas Touch Golden Elixir,0.12892761259077412
 120 Minute IPA, Newcastle Brown Ale,0.03373088705584383
 120 Minute IPA, Oak Aged Yeti Imperial Stout,0.0760576594693021
 120 Minute IPA, Oaked Arrogant Bastard Ale,0.0022648313970039862
 120 Minute IPA, Oatmeal Stout,0.10405377429494483
 120 Minute IPA, Oktoberfest,-0.023661392304618625
 120 Minute IPA, Old Rasputin Russian Imperial Stout,-0.028483531959312948
 120 Minute IPA, Ommegang (Abbey Ale),0.11229110368520855
 120 Minute IPA, Orval Trappist Ale,-0.07741732837956675
 120 Minute IPA, Pabst Blue Ribbon (PBR),-0.05160035897749549
 120 Minute IPA, Pale Ale,-0.1541214498184905
 120 Minute IPA, Palo Santo Marron,0.23527412647052012
 120 Minute IPA, Pliny The Elder,0.09752687389055328
 120 Minute IPA, Porter,0.04129452605848227
 120 Minute IPA, Prima Pils,0.0012317777230018661
 120 Minute IPA, Punkin Ale,0.19660380304090988
 120 Minute IPA, Péché Mortel (Imperial Stout Au Cafe),0.12192138187623901
 120 Minute IPA, Racer 5 India Pale Ale,0.04697998839638695
 120 Minute IPA, Raison D'etre,0.22537965936462412
 120 Minute IPA, Samuel Adams Black Lager,0.03847642893848995
 120 Minute IPA, Samuel Adams Boston Lager,-0.14472965797683385
 120 Minute IPA, Samuel Adams Octoberfest,-0.09219432859293945
 120 Minute IPA, Samuel Adams Summer Ale,-0.15094922814747697
 120 Minute IPA, Samuel Adams Winter Lager,0.046894383340852386
 120 Minute IPA, Samuel Smith's Imperial Stout,0.04793097653232515
 120 Minute IPA, Samuel Smith's Oatmeal Stout,0.12241265894189476
 120 Minute IPA, Schneider Aventinus,0.02253737730187767
 120 Minute IPA, Shakespeare Oatmeal Stout,-0.007124497843291254
 120 Minute IPA, Sierra Nevada Bigfoot Barleywine Style Ale,0.19274833066267427
 120 Minute IPA, Sierra Nevada Celebration Ale,-0.06146773644500976
 120 Minute IPA, Sierra Nevada Pale Ale,-0.03850143958282654
 120 Minute IPA, Sierra Nevada Torpedo Extra IPA,-0.07508312743693134
 120 Minute IPA," Smuttynose IPA ""Finest Kind""",0.06330495210225819
 120 Minute IPA, St. Bernardus Abt 12,0.15673449803846942
 120 Minute IPA, Stone IPA (India Pale Ale),0.076555768450922
 120 Minute IPA, Stone Imperial Russian Stout,0.035309527277154064
 120 Minute IPA, Stone Ruination IPA,0.136953018916535
 120 Minute IPA, Stone Smoked Porter,0.11551203648758399
 120 Minute IPA, Stone Sublimely Self-Righteous Ale,0.11711938153611016
 120 Minute IPA, Storm King Stout,0.2840587427921113
 120 Minute IPA, Ten FIDY,0.13656516779731007
 120 Minute IPA, Three Philosophers Belgian Style Blend (Quadrupel),0.03503954333703756
 120 Minute IPA, Trappistes Rochefort 10,0.13527678324428685
 120 Minute IPA, Trappistes Rochefort 8,0.026081453577995066
 120 Minute IPA, Trois Pistoles,0.14066861416012624
 120 Minute IPA, Tröegs Nugget Nectar,0.09475330708963052
 120 Minute IPA, Two Hearted Ale,0.07524357325064673
 120 Minute IPA, Weihenstephaner Hefeweissbier,0.03541872873323829
 120 Minute IPA, Westmalle Trappist Tripel,0.16269680539772988
 120 Minute IPA, World Wide Stout,0.2554235055358983
 120 Minute IPA, Yeti Imperial Stout,0.16901108124179737
 120 Minute IPA, Young's Double Chocolate Stout,0.22599281610706803
 120 Minute IPA, Yuengling Traditional Lager,-0.11771951256050271
 60 Minute IPA, #9,0.07486628664506215
 60 Minute IPA, 120 Minute IPA,0.09610369411660143
 60 Minute IPA, 90 Minute IPA,0.28461667516928
 60 Minute IPA, Alpha King Pale Ale,0.14309829838717703
 60 Minute IPA, Anchor Steam Beer,0.09127243011948027
 60 Minute IPA, ApriHop,0.18014951928521106
 60 Minute IPA, Arrogant Bastard Ale,0.178103447607656
 60 Minute IPA, Ayinger Celebrator Doppelbock,0.12536912938608014
 60 Minute IPA, Bell's Expedition Stout,0.0053982400858585584
 60 Minute IPA, Bell's Hopslam Ale,0.15385504559680171
 60 Minute IPA, Bell's Oberon Ale,0.06828384324101575
 60 Minute IPA, Blue Moon Belgian White,0.05291413292505177
 60 Minute IPA, Bourbon County Brand Stout,0.17528391232065874
 60 Minute IPA, Brooklyn Black Chocolate Stout,0.14060313795070908
 60 Minute IPA, Budweiser,0.0018465596203137093
 60 Minute IPA, Burton Baton,0.19616829725598772
 60 Minute IPA, Chimay Grande Réserve (Blue),0.036216363980503895
 60 Minute IPA, Chimay Première (Red),0.14665765692888544
 60 Minute IPA, Chimay Tripel (White),0.010066699188867313
 60 Minute IPA, Chocolate Stout,0.07336146167364202
 60 Minute IPA, Dale's Pale Ale,0.18802694463035827
 60 Minute IPA, Dead Guy Ale,0.13731990169771155
 60 Minute IPA, Delirium Tremens,0.053672726364220325
 60 Minute IPA, Double Bastard Ale,0.0890256398508973
 60 Minute IPA, Dreadnaught IPA,0.20189991911912208
 60 Minute IPA, Duvel,0.1500833456218363
 60 Minute IPA, Fat Tire Amber Ale,0.009854908974614216
 60 Minute IPA, Founders Breakfast Stout,0.1888209140184803
 60 Minute IPA, Founders KBS (Kentucky Breakfast Stout),0.091281900665196
 60 Minute IPA, Franziskaner Hefe-Weisse,0.09995987255755681
 60 Minute IPA, Golden Monkey,0.08709744212286756
 60 Minute IPA, Great Lakes Edmund Fitzgerald Porter,0.12044425392531559
 60 Minute IPA, Guinness Draught,0.19391564349088755
 60 Minute IPA, Hennepin (Farmhouse Saison),0.025138270187003906
 60 Minute IPA, Hoegaarden Original White Ale,-0.02375573531297142
 60 Minute IPA, Hop Rod Rye,0.0305345300888296
 60 Minute IPA, Hop Stoopid,0.13768327083686616
 60 Minute IPA, Hop Wallop,0.10516457523534592
 60 Minute IPA, HopDevil Ale,0.17451983900823703
 60 Minute IPA, IPA,-0.07006408755357157
 60 Minute IPA, Imperial Stout,0.04565776925805574
 60 Minute IPA, India Pale Ale,0.10812135414443796
 60 Minute IPA, Indian Brown Ale,0.12523104390197382
 60 Minute IPA, La Fin Du Monde,0.13240708572197007
 60 Minute IPA, Maharaja,0.1448702807849699
 60 Minute IPA, Maudite,0.020770977371266538
 60 Minute IPA, Midas Touch Golden Elixir,0.10305039988991962
 60 Minute IPA, Newcastle Brown Ale,0.18965859708096725
 60 Minute IPA, Oak Aged Yeti Imperial Stout,0.170107685364287
 60 Minute IPA, Oaked Arrogant Bastard Ale,0.1328804391932969
 60 Minute IPA, Oatmeal Stout,0.16738525924436035
 60 Minute IPA, Oktoberfest,0.001948869764026002
 60 Minute IPA, Old Rasputin Russian Imperial Stout,0.13277861125876947
 60 Minute IPA, Ommegang (Abbey Ale),0.16506408985495427
 60 Minute IPA, Orval Trappist Ale,0.03035092517922893
 60 Minute IPA, Pabst Blue Ribbon (PBR),0.07134013225242239
 60 Minute IPA, Pale Ale,0.10404971336927014
 60 Minute IPA, Palo Santo Marron,0.09617765216334948
 60 Minute IPA, Pliny The Elder,0.1394328048826713
 60 Minute IPA, Porter,0.15231237636644876
 60 Minute IPA, Prima Pils,0.17830815608340755
 60 Minute IPA, Punkin Ale,0.13835320759528863
 60 Minute IPA, Péché Mortel (Imperial Stout Au Cafe),0.05033122998503334
 60 Minute IPA, Racer 5 India Pale Ale,0.1989709551007311
 60 Minute IPA, Raison D'etre,0.18891553293597932
 60 Minute IPA, Samuel Adams Black Lager,0.0612078467098922
 60 Minute IPA, Samuel Adams Boston Lager,0.05640084420896518
 60 Minute IPA, Samuel Adams Octoberfest,0.024354337850902064
 60 Minute IPA, Samuel Adams Summer Ale,0.09462165877110466
 60 Minute IPA, Samuel Adams Winter Lager,0.2008647992685555
 60 Minute IPA, Samuel Smith's Imperial Stout,0.09841727727351073
 60 Minute IPA, Samuel Smith's Oatmeal Stout,0.04979458835125338
 60 Minute IPA, Schneider Aventinus,0.03594642142359337
 60 Minute IPA, Shakespeare Oatmeal Stout,0.13059099975713473
 60 Minute IPA, Sierra Nevada Bigfoot Barleywine Style Ale,0.17266022920904006
 60 Minute IPA, Sierra Nevada Celebration Ale,0.180188074495785
 60 Minute IPA, Sierra Nevada Pale Ale,0.16328627668389087
 60 Minute IPA, Sierra Nevada Torpedo Extra IPA,0.1276361990206964
 60 Minute IPA," Smuttynose IPA ""Finest Kind""",0.13775885767472706
 60 Minute IPA, St. Bernardus Abt 12,0.12960027980500544
 60 Minute IPA, Stone IPA (India Pale Ale),0.14065425345528187
 60 Minute IPA, Stone Imperial Russian Stout,0.043890650362901816
 60 Minute IPA, Stone Ruination IPA,0.08452826815828725
 60 Minute IPA, Stone Smoked Porter,0.027939564209585408
 60 Minute IPA, Stone Sublimely Self-Righteous Ale,0.09336657175451124
 60 Minute IPA, Storm King Stout,0.14212010696573252
 60 Minute IPA, Ten FIDY,-0.0056392642622325306
 60 Minute IPA, Three Philosophers Belgian Style Blend (Quadrupel),0.1795444730183462
 60 Minute IPA, Trappistes Rochefort 10,0.22013966533310378
 60 Minute IPA, Trappistes Rochefort 8,0.10133459171637729
 60 Minute IPA, Trois Pistoles,0.09132652157359664
 60 Minute IPA, Tröegs Nugget Nectar,0.20331306134227087
 60 Minute IPA, Two Hearted Ale,0.22110993304417528
 60 Minute IPA, Weihenstephaner Hefeweissbier,0.14837959950841315
 60 Minute IPA, Westmalle Trappist Tripel,0.12168408674114949
 60 Minute IPA, World Wide Stout,0.21766945391051698
 60 Minute IPA, Yeti Imperial Stout,0.22330988992404407
 60 Minute IPA, Young's Double Chocolate Stout,0.11087817771040269
 60 Minute IPA, Yuengling Traditional Lager,0.038921198851775314
 90 Minute IPA, #9,0.05263627189988769
 90 Minute IPA, 120 Minute IPA,0.10806791785121288
 90 Minute IPA, 60 Minute IPA,0.2846166751692802
 90 Minute IPA, Alpha King Pale Ale,0.11331709525309358
 90 Minute IPA, Anchor Steam Beer,-0.016897100258804736
 90 Minute IPA, ApriHop,0.026908815948175163
 90 Minute IPA, Arrogant Bastard Ale,0.17223129350314836
 90 Minute IPA, Ayinger Celebrator Doppelbock,0.1053631402709606
 90 Minute IPA, Bell's Expedition Stout,0.07001192416742125
 90 Minute IPA, Bell's Hopslam Ale,0.16103579758833927
 90 Minute IPA, Bell's Oberon Ale,0.1117774142564844
 90 Minute IPA, Blue Moon Belgian White,0.10933117014948127
 90 Minute IPA, Bourbon County Brand Stout,0.07064078153123927
 90 Minute IPA, Brooklyn Black Chocolate Stout,0.21468189898502196
 90 Minute IPA, Budweiser,-0.008983771531403676
 90 Minute IPA, Burton Baton,0.251944910558388
 90 Minute IPA, Chimay Grande Réserve (Blue),0.10907104608116915
 90 Minute IPA, Chimay Première (Red),-0.08394170246196606
 90 Minute IPA, Chimay Tripel (White),0.028756941647595756
 90 Minute IPA, Chocolate Stout,-0.006169764179371188
 90 Minute IPA, Dale's Pale Ale,-0.041245037766815644
 90 Minute IPA, Dead Guy Ale,0.13814020967459403
 90 Minute IPA, Delirium Tremens,0.048716226044988
 90 Minute IPA, Double Bastard Ale,0.19085508112766134
 90 Minute IPA, Dreadnaught IPA,0.18192536358774344
 90 Minute IPA, Duvel,0.12080241410950796
 90 Minute IPA, Fat Tire Amber Ale,-0.07706314008628164
 90 Minute IPA, Founders Breakfast Stout,0.02145701757710436
 90 Minute IPA, Founders KBS (Kentucky Breakfast Stout),0.034413724636889506
 90 Minute IPA, Franziskaner Hefe-Weisse,0.018151610069645843
 90 Minute IPA, Golden Monkey,0.08064257524610217
 90 Minute IPA, Great Lakes Edmund Fitzgerald Porter,0.08456121642554791
 90 Minute IPA, Guinness Draught,0.1062554365851669
 90 Minute IPA, Hennepin (Farmhouse Saison),0.03985217783639289
 90 Minute IPA, Hoegaarden Original White Ale,-0.021857395253560022
 90 Minute IPA, Hop Rod Rye,0.22141282146403107
 90 Minute IPA, Hop Stoopid,0.13062446618537427
 90 Minute IPA, Hop Wallop,0.12212527164218295
 90 Minute IPA, HopDevil Ale,0.1251637578661847
 90 Minute IPA, IPA,0.014476467638834102
 90 Minute IPA, Imperial Stout,0.06767416091228358
 90 Minute IPA, India Pale Ale,0.09883320799397316
 90 Minute IPA, Indian Brown Ale,0.16445653865320117
 90 Minute IPA, La Fin Du Monde,0.07921361503529444
 90 Minute IPA, Maharaja,0.12839838080793917
 90 Minute IPA, Maudite,0.17047503320313642
 90 Minute IPA, Midas Touch Golden Elixir,0.16457752332742898
 90 Minute IPA, Newcastle Brown Ale,0.03017419593414372
 90 Minute IPA, Oak Aged Yeti Imperial Stout,0.08164489151205478
 90 Minute IPA, Oaked Arrogant Bastard Ale,0.16649519980624508
 90 Minute IPA, Oatmeal Stout,-0.011575939102198576
 90 Minute IPA, Oktoberfest,-0.06050915675427358
 90 Minute IPA, Old Rasputin Russian Imperial Stout,0.13075116679774543
 90 Minute IPA, Ommegang (Abbey Ale),0.11228130941047317
 90 Minute IPA, Orval Trappist Ale,-0.1004884837290395
 90 Minute IPA, Pabst Blue Ribbon (PBR),0.017431859072388027
 90 Minute IPA, Pale Ale,0.03224212980797588
 90 Minute IPA, Palo Santo Marron,0.24722805512883117
 90 Minute IPA, Pliny The Elder,0.15774808690371603
 90 Minute IPA, Porter,0.06809830106311655
 90 Minute IPA, Prima Pils,-0.011849246767864342
 90 Minute IPA, Punkin Ale,0.0844867693013375
 90 Minute IPA, Péché Mortel (Imperial Stout Au Cafe),0.13454767713600357
 90 Minute IPA, Racer 5 India Pale Ale,0.18893909275269982
 90 Minute IPA, Raison D'etre,0.14774264626452893
 90 Minute IPA, Samuel Adams Black Lager,0.03719078230653718
 90 Minute IPA, Samuel Adams Boston Lager,-0.023833361122792662
 90 Minute IPA, Samuel Adams Octoberfest,-0.03546695657250385
 90 Minute IPA, Samuel Adams Summer Ale,0.023538139474279247
 90 Minute IPA, Samuel Adams Winter Lager,0.08503807551115682
 90 Minute IPA, Samuel Smith's Imperial Stout,0.050079776634928866
 90 Minute IPA, Samuel Smith's Oatmeal Stout,0.054841697258266896
 90 Minute IPA, Schneider Aventinus,0.17537997732945138
 90 Minute IPA, Shakespeare Oatmeal Stout,0.11402902539158134
 90 Minute IPA, Sierra Nevada Bigfoot Barleywine Style Ale,0.2120037855357173
 90 Minute IPA, Sierra Nevada Celebration Ale,0.1723628534212573
 90 Minute IPA, Sierra Nevada Pale Ale,0.04622284536225843
 90 Minute IPA, Sierra Nevada Torpedo Extra IPA,0.09578404198412618
 90 Minute IPA," Smuttynose IPA ""Finest Kind""",0.01699659097298177
 90 Minute IPA, St. Bernardus Abt 12,0.1083504104371994
 90 Minute IPA, Stone IPA (India Pale Ale),0.21306627582601764
 90 Minute IPA, Stone Imperial Russian Stout,-0.007643688379545304
 90 Minute IPA, Stone Ruination IPA,0.07548026875703175
 90 Minute IPA, Stone Smoked Porter,0.04428736859395338
 90 Minute IPA, Stone Sublimely Self-Righteous Ale,0.08344599440600722
 90 Minute IPA, Storm King Stout,0.15685597100333146
 90 Minute IPA, Ten FIDY,0.2007738203330644
 90 Minute IPA, Three Philosophers Belgian Style Blend (Quadrupel),0.019511573298747625
 90 Minute IPA, Trappistes Rochefort 10,0.14707361360117222
 90 Minute IPA, Trappistes Rochefort 8,0.11052927685547295
 90 Minute IPA, Trois Pistoles,0.06272085827685853
 90 Minute IPA, Tröegs Nugget Nectar,0.10214550304824073
 90 Minute IPA, Two Hearted Ale,0.07717659655764807
 90 Minute IPA, Weihenstephaner Hefeweissbier,0.054671958354946426
 90 Minute IPA, Westmalle Trappist Tripel,0.2101380192181938
 90 Minute IPA, World Wide Stout,0.17614618402905763
 90 Minute IPA, Yeti Imperial Stout,0.17803729693385667
 90 Minute IPA, Young's Double Chocolate Stout,0.21103279348078935
 90 Minute IPA, Yuengling Traditional Lager,0.07352183994362728
 Alpha King Pale Ale, #9,-0.01133966694369454
 Alpha King Pale Ale, 120 Minute IPA,0.10461196294339985
 Alpha King Pale Ale, 60 Minute IPA,0.14309829838717697
 Alpha King Pale Ale, 90 Minute IPA,0.11331709525309372
 Alpha King Pale Ale, Anchor Steam Beer,0.11285449950567338
 Alpha King Pale Ale, ApriHop,0.023006200217328094
 Alpha King Pale Ale, Arrogant Bastard Ale,0.06838281714738412
 Alpha King Pale Ale, Ayinger Celebrator Doppelbock,0.026335902562669468
 Alpha King Pale Ale, Bell's Expedition Stout,0.06127736399796737
 Alpha King Pale Ale, Bell's Hopslam Ale,0.20512982166761537
 Alpha King Pale Ale, Bell's Oberon Ale,0.02294949889361826
 Alpha King Pale Ale, Blue Moon Belgian White,0.06149950549420686
 Alpha King Pale Ale, Bourbon County Brand Stout,0.17928869258849842
 Alpha King Pale Ale, Brooklyn Black Chocolate Stout,0.051352410547128684
 Alpha King Pale Ale, Budweiser,-0.1279932962094044
 Alpha King Pale Ale, Burton Baton,0.03829778178339024
 Alpha King Pale Ale, Chimay Grande Réserve (Blue),0.011306385317351748
 Alpha King Pale Ale, Chimay Première (Red),-0.20396452311526525
 Alpha King Pale Ale, Chimay Tripel (White),-0.07900931669813695
 Alpha King Pale Ale, Chocolate Stout,0.10932280870157318
 Alpha King Pale Ale, Dale's Pale Ale,0.17363848000157917
 Alpha King Pale Ale, Dead Guy Ale,0.0992401744060664
 Alpha King Pale Ale, Delirium Tremens,0.1170398939453627
 Alpha King Pale Ale, Double Bastard Ale,0.027975444141873758
 Alpha King Pale Ale, Dreadnaught IPA,0.27892613653491305
 Alpha King Pale Ale, Duvel,0.10664963452070729
 Alpha King Pale Ale, Fat Tire Amber Ale,0.10506182045568664
 Alpha King Pale Ale, Founders Breakfast Stout,0.18646794050955537
 Alpha King Pale Ale, Founders KBS (Kentucky Breakfast Stout),0.09127470546173284
 Alpha King Pale Ale, Franziskaner Hefe-Weisse,-0.026276175847369885
 Alpha King Pale Ale, Golden Monkey,-0.1163015918721243
 Alpha King Pale Ale, Great Lakes Edmund Fitzgerald Porter,0.17747376968705106
 Alpha King Pale Ale, Guinness Draught,-0.14826073125894382
 Alpha King Pale Ale, Hennepin (Farmhouse Saison),0.20581772468554888
 Alpha King Pale Ale, Hoegaarden Original White Ale,0.22102335292442696
 Alpha King Pale Ale, Hop Rod Rye,0.1656011986175238
 Alpha King Pale Ale, Hop Stoopid,0.07673990598929853
 Alpha King Pale Ale, Hop Wallop,0.29823154225807963
 Alpha King Pale Ale, HopDevil Ale,0.188361090202971
 Alpha King Pale Ale, IPA,0.007038258105867676
 Alpha King Pale Ale, Imperial Stout,0.12635036461088456
 Alpha King Pale Ale, India Pale Ale,0.09204517279896267
 Alpha King Pale Ale, Indian Brown Ale,0.06049769107497664
 Alpha King Pale Ale, La Fin Du Monde,0.11632969416246829
 Alpha King Pale Ale, Maharaja,0.13933440078956263
 Alpha King Pale Ale, Maudite,0.10793473444267272
 Alpha King Pale Ale, Midas Touch Golden Elixir,0.043386968819083147
 Alpha King Pale Ale, Newcastle Brown Ale,-0.08084661136003665
 Alpha King Pale Ale, Oak Aged Yeti Imperial Stout,0.11395986249857776
 Alpha King Pale Ale, Oaked Arrogant Bastard Ale,0.11167679199699623
 Alpha King Pale Ale, Oatmeal Stout,0.05291366292386745
 Alpha King Pale Ale, Oktoberfest,0.1456982721279315
 Alpha King Pale Ale, Old Rasputin Russian Imperial Stout,0.16344592992205714
 Alpha King Pale Ale, Ommegang (Abbey Ale),0.10074284989897682
 Alpha King Pale Ale, Orval Trappist Ale,0.11136544858778372
 Alpha King Pale Ale, Pabst Blue Ribbon (PBR),0.03320511613076493
 Alpha King Pale Ale, Pale Ale,0.0845761248490009
 Alpha King Pale Ale, Palo Santo Marron,0.1729000638145309
 Alpha King Pale Ale, Pliny The Elder,0.20520445347291574
 Alpha King Pale Ale, Porter,0.037936636280103284
 Alpha King Pale Ale, Prima Pils,0.16649264019769236
 Alpha King Pale Ale, Punkin Ale,0.1280731150044992
 Alpha King Pale Ale, Péché Mortel (Imperial Stout Au Cafe),0.25150238932532204
 Alpha King Pale Ale, Racer 5 India Pale Ale,0.09606379807418382
 Alpha King Pale Ale, Raison D'etre,-0.11085422544555322
